breed,category,characteristic,star
Afador, Adaptability,Adapts Well To Apartment Living,1
Afador, Adaptability,Good For Novice Owners,1
Afador, Adaptability,Sensitivity Level,3
Afador, Adaptability,Tolerates Being Alone,3
Afador, Adaptability,Tolerates Cold Weather,4
Afador, Adaptability,Tolerates Hot Weather,2
Afador, All Around Friendliness,Affectionate With Family,4
Afador, All Around Friendliness,Kid-Friendly,2
Afador, All Around Friendliness,Dog Friendly,3
Afador, All Around Friendliness,Friendly Toward Strangers,1
Afador, Health And Grooming Needs,Amount Of Shedding,4
Afador, Health And Grooming Needs,Drooling Potential,3
Afador, Health And Grooming Needs,Easy To Groom,2
Afador, Health And Grooming Needs,General Health,3
Afador, Health And Grooming Needs,Potential For Weight Gain,4
Afador, Health And Grooming Needs,Size,4
Afador, Trainability,Easy To Train,1
Afador, Trainability,Intelligence,5
Afador, Trainability,Potential For Mouthiness,4
Afador, Trainability,Prey Drive,4
Afador, Trainability,Tendency To Bark Or Howl,4
Afador, Trainability,Wanderlust Potential,4
Afador, Physical Needs,Energy Level,4
Afador, Physical Needs,Intensity,4
Afador, Physical Needs,Exercise Needs,4
Afador, Physical Needs,Potential For Playfulness,3
Azawakh, Adaptability,Adapts Well To Apartment Living,5
Azawakh, Adaptability,Good For Novice Owners,2
Azawakh, Adaptability,Sensitivity Level,3
Azawakh, Adaptability,Tolerates Being Alone,3
Azawakh, Adaptability,Tolerates Cold Weather,1
Azawakh, Adaptability,Tolerates Hot Weather,5
Azawakh, All Around Friendliness,Affectionate With Family,4
Azawakh, All Around Friendliness,Kid-Friendly,2
Azawakh, All Around Friendliness,Dog Friendly,3
Azawakh, All Around Friendliness,Friendly Toward Strangers,2
Azawakh, Health And Grooming Needs,Amount Of Shedding,3
Azawakh, Health And Grooming Needs,Drooling Potential,1
Azawakh, Health And Grooming Needs,Easy To Groom,5
Azawakh, Health And Grooming Needs,General Health,3
Azawakh, Health And Grooming Needs,Potential For Weight Gain,3
Azawakh, Health And Grooming Needs,Size,4
Azawakh, Trainability,Easy To Train,3
Azawakh, Trainability,Intelligence,3
Azawakh, Trainability,Potential For Mouthiness,3
Azawakh, Trainability,Prey Drive,4
Azawakh, Trainability,Tendency To Bark Or Howl,1
Azawakh, Trainability,Wanderlust Potential,2
Azawakh, Physical Needs,Energy Level,3
Azawakh, Physical Needs,Intensity,2
Azawakh, Physical Needs,Exercise Needs,4
Azawakh, Physical Needs,Potential For Playfulness,3
Australian Shepherd Lab Mix, Adaptability,Adapts Well To Apartment Living,2
Australian Shepherd Lab Mix, Adaptability,Good For Novice Owners,2
Australian Shepherd Lab Mix, Adaptability,Sensitivity Level,5
Australian Shepherd Lab Mix, Adaptability,Tolerates Being Alone,4
Australian Shepherd Lab Mix, Adaptability,Tolerates Cold Weather,5
Australian Shepherd Lab Mix, Adaptability,Tolerates Hot Weather,4
Australian Shepherd Lab Mix, All Around Friendliness,Affectionate With Family,4
Australian Shepherd Lab Mix, All Around Friendliness,Kid-Friendly,4
Australian Shepherd Lab Mix, All Around Friendliness,Dog Friendly,4
Australian Shepherd Lab Mix, All Around Friendliness,Friendly Toward Strangers,4
Australian Shepherd Lab Mix, Health And Grooming Needs,Amount Of Shedding,4
Australian Shepherd Lab Mix, Health And Grooming Needs,Drooling Potential,2
Australian Shepherd Lab Mix, Health And Grooming Needs,Easy To Groom,4
Australian Shepherd Lab Mix, Health And Grooming Needs,General Health,4
Australian Shepherd Lab Mix, Health And Grooming Needs,Potential For Weight Gain,3
Australian Shepherd Lab Mix, Health And Grooming Needs,Size,4
Australian Shepherd Lab Mix, Trainability,Easy To Train,5
Australian Shepherd Lab Mix, Trainability,Intelligence,5
Australian Shepherd Lab Mix, Trainability,Potential For Mouthiness,4
Australian Shepherd Lab Mix, Trainability,Prey Drive,3
Australian Shepherd Lab Mix, Trainability,Tendency To Bark Or Howl,3
Australian Shepherd Lab Mix, Trainability,Wanderlust Potential,5
Australian Shepherd Lab Mix, Physical Needs,Energy Level,5
Australian Shepherd Lab Mix, Physical Needs,Intensity,5
Australian Shepherd Lab Mix, Physical Needs,Exercise Needs,5
Australian Shepherd Lab Mix, Physical Needs,Potential For Playfulness,5
Australian Shepherd Pit Bull Mix, Adaptability,Adapts Well To Apartment Living,2
Australian Shepherd Pit Bull Mix, Adaptability,Good For Novice Owners,3
Australian Shepherd Pit Bull Mix, Adaptability,Sensitivity Level,3
Australian Shepherd Pit Bull Mix, Adaptability,Tolerates Being Alone,2
Australian Shepherd Pit Bull Mix, Adaptability,Tolerates Cold Weather,3
Australian Shepherd Pit Bull Mix, Adaptability,Tolerates Hot Weather,3
Australian Shepherd Pit Bull Mix, All Around Friendliness,Affectionate With Family,4
Australian Shepherd Pit Bull Mix, All Around Friendliness,Kid-Friendly,4
Australian Shepherd Pit Bull Mix, All Around Friendliness,Dog Friendly,3
Australian Shepherd Pit Bull Mix, All Around Friendliness,Friendly Toward Strangers,3
Australian Shepherd Pit Bull Mix, Health And Grooming Needs,Amount Of Shedding,4
Australian Shepherd Pit Bull Mix, Health And Grooming Needs,Drooling Potential,2
Australian Shepherd Pit Bull Mix, Health And Grooming Needs,Easy To Groom,3
Australian Shepherd Pit Bull Mix, Health And Grooming Needs,General Health,4
Australian Shepherd Pit Bull Mix, Health And Grooming Needs,Potential For Weight Gain,5
Australian Shepherd Pit Bull Mix, Health And Grooming Needs,Size,4
Australian Shepherd Pit Bull Mix, Trainability,Easy To Train,4
Australian Shepherd Pit Bull Mix, Trainability,Intelligence,4
Australian Shepherd Pit Bull Mix, Trainability,Potential For Mouthiness,3
Australian Shepherd Pit Bull Mix, Trainability,Prey Drive,4
Australian Shepherd Pit Bull Mix, Trainability,Tendency To Bark Or Howl,2
Australian Shepherd Pit Bull Mix, Trainability,Wanderlust Potential,3
Australian Shepherd Pit Bull Mix, Physical Needs,Energy Level,4
Australian Shepherd Pit Bull Mix, Physical Needs,Intensity,3
Australian Shepherd Pit Bull Mix, Physical Needs,Exercise Needs,4
Australian Shepherd Pit Bull Mix, Physical Needs,Potential For Playfulness,4
Basenji, Adaptability,Adapts Well To Apartment Living,5
Basenji, Adaptability,Good For Novice Owners,4
Basenji, Adaptability,Sensitivity Level,3
Basenji, Adaptability,Tolerates Being Alone,4
Basenji, Adaptability,Tolerates Cold Weather,1
Basenji, Adaptability,Tolerates Hot Weather,4
Basenji, All Around Friendliness,Affectionate With Family,5
Basenji, All Around Friendliness,Kid-Friendly,5
Basenji, All Around Friendliness,Dog Friendly,4
Basenji, All Around Friendliness,Friendly Toward Strangers,5
Basenji, Health And Grooming Needs,Amount Of Shedding,1
Basenji, Health And Grooming Needs,Drooling Potential,1
Basenji, Health And Grooming Needs,Easy To Groom,5
Basenji, Health And Grooming Needs,General Health,2
Basenji, Health And Grooming Needs,Potential For Weight Gain,2
Basenji, Health And Grooming Needs,Size,2
Basenji, Trainability,Easy To Train,1
Basenji, Trainability,Intelligence,4
Basenji, Trainability,Potential For Mouthiness,5
Basenji, Trainability,Prey Drive,5
Basenji, Trainability,Tendency To Bark Or Howl,1
Basenji, Trainability,Wanderlust Potential,5
Basenji, Physical Needs,Energy Level,5
Basenji, Physical Needs,Intensity,1
Basenji, Physical Needs,Exercise Needs,5
Basenji, Physical Needs,Potential For Playfulness,2
Australian Shepherd, Adaptability,Adapts Well To Apartment Living,1
Australian Shepherd, Adaptability,Good For Novice Owners,2
Australian Shepherd, Adaptability,Sensitivity Level,5
Australian Shepherd, Adaptability,Tolerates Being Alone,2
Australian Shepherd, Adaptability,Tolerates Cold Weather,4
Australian Shepherd, Adaptability,Tolerates Hot Weather,4
Australian Shepherd, All Around Friendliness,Affectionate With Family,5
Australian Shepherd, All Around Friendliness,Kid-Friendly,4
Australian Shepherd, All Around Friendliness,Dog Friendly,5
Australian Shepherd, All Around Friendliness,Friendly Toward Strangers,3
Australian Shepherd, Health And Grooming Needs,Amount Of Shedding,3
Australian Shepherd, Health And Grooming Needs,Drooling Potential,1
Australian Shepherd, Health And Grooming Needs,Easy To Groom,1
Australian Shepherd, Health And Grooming Needs,General Health,2
Australian Shepherd, Health And Grooming Needs,Potential For Weight Gain,4
Australian Shepherd, Health And Grooming Needs,Size,3
Australian Shepherd, Trainability,Easy To Train,5
Australian Shepherd, Trainability,Intelligence,5
Australian Shepherd, Trainability,Potential For Mouthiness,4
Australian Shepherd, Trainability,Prey Drive,4
Australian Shepherd, Trainability,Tendency To Bark Or Howl,4
Australian Shepherd, Trainability,Wanderlust Potential,5
Australian Shepherd, Physical Needs,Energy Level,5
Australian Shepherd, Physical Needs,Intensity,4
Australian Shepherd, Physical Needs,Exercise Needs,5
Australian Shepherd, Physical Needs,Potential For Playfulness,5
Australian Retriever, Adaptability,Adapts Well To Apartment Living,1
Australian Retriever, Adaptability,Good For Novice Owners,4
Australian Retriever, Adaptability,Sensitivity Level,3
Australian Retriever, Adaptability,Tolerates Being Alone,2
Australian Retriever, Adaptability,Tolerates Cold Weather,4
Australian Retriever, Adaptability,Tolerates Hot Weather,4
