breed,category,characteristic,star,image_src
Afador, Adaptability,Adapts Well To Apartment Living,1,https://dogtime.com/assets/uploads/2019/08/afador-mixed-dog-breed-pictures-1.jpg
Afador, Adaptability,Good For Novice Owners,1,https://dogtime.com/assets/uploads/2019/08/afador-mixed-dog-breed-pictures-1.jpg
Afador, Adaptability,Sensitivity Level,3,https://dogtime.com/assets/uploads/2019/08/afador-mixed-dog-breed-pictures-1.jpg
Afador, Adaptability,Tolerates Being Alone,3,https://dogtime.com/assets/uploads/2019/08/afador-mixed-dog-breed-pictures-1.jpg
Afador, Adaptability,Tolerates Cold Weather,4,https://dogtime.com/assets/uploads/2019/08/afador-mixed-dog-breed-pictures-1.jpg
Afador, Adaptability,Tolerates Hot Weather,2,https://dogtime.com/assets/uploads/2019/08/afador-mixed-dog-breed-pictures-1.jpg
Afador, All Around Friendliness,Affectionate With Family,4,https://dogtime.com/assets/uploads/2019/08/afador-mixed-dog-breed-pictures-1.jpg
Afador, All Around Friendliness,Kid-Friendly,2,https://dogtime.com/assets/uploads/2019/08/afador-mixed-dog-breed-pictures-1.jpg
Afador, All Around Friendliness,Dog Friendly,3,https://dogtime.com/assets/uploads/2019/08/afador-mixed-dog-breed-pictures-1.jpg
Afador, All Around Friendliness,Friendly Toward Strangers,1,https://dogtime.com/assets/uploads/2019/08/afador-mixed-dog-breed-pictures-1.jpg
Afador, Health And Grooming Needs,Amount Of Shedding,4,https://dogtime.com/assets/uploads/2019/08/afador-mixed-dog-breed-pictures-1.jpg
Afador, Health And Grooming Needs,Drooling Potential,3,https://dogtime.com/assets/uploads/2019/08/afador-mixed-dog-breed-pictures-1.jpg
Afador, Health And Grooming Needs,Easy To Groom,2,https://dogtime.com/assets/uploads/2019/08/afador-mixed-dog-breed-pictures-1.jpg
Afador, Health And Grooming Needs,General Health,3,https://dogtime.com/assets/uploads/2019/08/afador-mixed-dog-breed-pictures-1.jpg
Afador, Health And Grooming Needs,Potential For Weight Gain,4,https://dogtime.com/assets/uploads/2019/08/afador-mixed-dog-breed-pictures-1.jpg
Afador, Health And Grooming Needs,Size,4,https://dogtime.com/assets/uploads/2019/08/afador-mixed-dog-breed-pictures-1.jpg
Afador, Trainability,Easy To Train,1,https://dogtime.com/assets/uploads/2019/08/afador-mixed-dog-breed-pictures-1.jpg
Afador, Trainability,Intelligence,5,https://dogtime.com/assets/uploads/2019/08/afador-mixed-dog-breed-pictures-1.jpg
Afador, Trainability,Potential For Mouthiness,4,https://dogtime.com/assets/uploads/2019/08/afador-mixed-dog-breed-pictures-1.jpg
Afador, Trainability,Prey Drive,4,https://dogtime.com/assets/uploads/2019/08/afador-mixed-dog-breed-pictures-1.jpg
Afador, Trainability,Tendency To Bark Or Howl,4,https://dogtime.com/assets/uploads/2019/08/afador-mixed-dog-breed-pictures-1.jpg
Afador, Trainability,Wanderlust Potential,4,https://dogtime.com/assets/uploads/2019/08/afador-mixed-dog-breed-pictures-1.jpg
Afador, Physical Needs,Energy Level,4,https://dogtime.com/assets/uploads/2019/08/afador-mixed-dog-breed-pictures-1.jpg
Afador, Physical Needs,Intensity,4,https://dogtime.com/assets/uploads/2019/08/afador-mixed-dog-breed-pictures-1.jpg
Afador, Physical Needs,Exercise Needs,4,https://dogtime.com/assets/uploads/2019/08/afador-mixed-dog-breed-pictures-1.jpg
Afador, Physical Needs,Potential For Playfulness,3,https://dogtime.com/assets/uploads/2019/08/afador-mixed-dog-breed-pictures-1.jpg
Australian Stumpy Tail Cattle Dog, Adaptability,Adapts Well To Apartment Living,1,https://dogtime.com/assets/uploads/gallery/australian-stumpy-tail-cattle-dog-breed-pictures/australian-stumpy-tail-cattle-dog-4.jpg
Australian Stumpy Tail Cattle Dog, Adaptability,Good For Novice Owners,2,https://dogtime.com/assets/uploads/gallery/australian-stumpy-tail-cattle-dog-breed-pictures/australian-stumpy-tail-cattle-dog-4.jpg
Australian Stumpy Tail Cattle Dog, Adaptability,Sensitivity Level,3,https://dogtime.com/assets/uploads/gallery/australian-stumpy-tail-cattle-dog-breed-pictures/australian-stumpy-tail-cattle-dog-4.jpg
Australian Stumpy Tail Cattle Dog, Adaptability,Tolerates Being Alone,2,https://dogtime.com/assets/uploads/gallery/australian-stumpy-tail-cattle-dog-breed-pictures/australian-stumpy-tail-cattle-dog-4.jpg
