breed,category,characteristic,star,image_src,dog_page
Afador, Adaptability,Adapts Well To Apartment Living,1,https://dogtime.com/assets/uploads/2019/08/afador-mixed-dog-breed-pictures-1.jpg,https://dogtime.com/dog-breeds/afador
Afador, Adaptability,Good For Novice Owners,1,https://dogtime.com/assets/uploads/2019/08/afador-mixed-dog-breed-pictures-1.jpg,https://dogtime.com/dog-breeds/afador
Afador, Adaptability,Sensitivity Level,3,https://dogtime.com/assets/uploads/2019/08/afador-mixed-dog-breed-pictures-1.jpg,https://dogtime.com/dog-breeds/afador
Afador, Adaptability,Tolerates Being Alone,3,https://dogtime.com/assets/uploads/2019/08/afador-mixed-dog-breed-pictures-1.jpg,https://dogtime.com/dog-breeds/afador
Afador, Adaptability,Tolerates Cold Weather,4,https://dogtime.com/assets/uploads/2019/08/afador-mixed-dog-breed-pictures-1.jpg,https://dogtime.com/dog-breeds/afador
Afador, Adaptability,Tolerates Hot Weather,2,https://dogtime.com/assets/uploads/2019/08/afador-mixed-dog-breed-pictures-1.jpg,https://dogtime.com/dog-breeds/afador
Afador, All Around Friendliness,Affectionate With Family,4,https://dogtime.com/assets/uploads/2019/08/afador-mixed-dog-breed-pictures-1.jpg,https://dogtime.com/dog-breeds/afador
Afador, All Around Friendliness,Kid-Friendly,2,https://dogtime.com/assets/uploads/2019/08/afador-mixed-dog-breed-pictures-1.jpg,https://dogtime.com/dog-breeds/afador
Afador, All Around Friendliness,Dog Friendly,3,https://dogtime.com/assets/uploads/2019/08/afador-mixed-dog-breed-pictures-1.jpg,https://dogtime.com/dog-breeds/afador
Afador, All Around Friendliness,Friendly Toward Strangers,1,https://dogtime.com/assets/uploads/2019/08/afador-mixed-dog-breed-pictures-1.jpg,https://dogtime.com/dog-breeds/afador
Afador, Health And Grooming Needs,Amount Of Shedding,4,https://dogtime.com/assets/uploads/2019/08/afador-mixed-dog-breed-pictures-1.jpg,https://dogtime.com/dog-breeds/afador
Afador, Health And Grooming Needs,Drooling Potential,3,https://dogtime.com/assets/uploads/2019/08/afador-mixed-dog-breed-pictures-1.jpg,https://dogtime.com/dog-breeds/afador
Afador, Health And Grooming Needs,Easy To Groom,2,https://dogtime.com/assets/uploads/2019/08/afador-mixed-dog-breed-pictures-1.jpg,https://dogtime.com/dog-breeds/afador
Afador, Health And Grooming Needs,General Health,3,https://dogtime.com/assets/uploads/2019/08/afador-mixed-dog-breed-pictures-1.jpg,https://dogtime.com/dog-breeds/afador
Afador, Health And Grooming Needs,Potential For Weight Gain,4,https://dogtime.com/assets/uploads/2019/08/afador-mixed-dog-breed-pictures-1.jpg,https://dogtime.com/dog-breeds/afador
Afador, Health And Grooming Needs,Size,4,https://dogtime.com/assets/uploads/2019/08/afador-mixed-dog-breed-pictures-1.jpg,https://dogtime.com/dog-breeds/afador
Afador, Trainability,Easy To Train,1,https://dogtime.com/assets/uploads/2019/08/afador-mixed-dog-breed-pictures-1.jpg,https://dogtime.com/dog-breeds/afador
Afador, Trainability,Intelligence,5,https://dogtime.com/assets/uploads/2019/08/afador-mixed-dog-breed-pictures-1.jpg,https://dogtime.com/dog-breeds/afador
Afador, Trainability,Potential For Mouthiness,4,https://dogtime.com/assets/uploads/2019/08/afador-mixed-dog-breed-pictures-1.jpg,https://dogtime.com/dog-breeds/afador
Afador, Trainability,Prey Drive,4,https://dogtime.com/assets/uploads/2019/08/afador-mixed-dog-breed-pictures-1.jpg,https://dogtime.com/dog-breeds/afador
Afador, Trainability,Tendency To Bark Or Howl,4,https://dogtime.com/assets/uploads/2019/08/afador-mixed-dog-breed-pictures-1.jpg,https://dogtime.com/dog-breeds/afador
Afador, Trainability,Wanderlust Potential,4,https://dogtime.com/assets/uploads/2019/08/afador-mixed-dog-breed-pictures-1.jpg,https://dogtime.com/dog-breeds/afador
Afador, Physical Needs,Energy Level,4,https://dogtime.com/assets/uploads/2019/08/afador-mixed-dog-breed-pictures-1.jpg,https://dogtime.com/dog-breeds/afador
Afador, Physical Needs,Intensity,4,https://dogtime.com/assets/uploads/2019/08/afador-mixed-dog-breed-pictures-1.jpg,https://dogtime.com/dog-breeds/afador
Afador, Physical Needs,Exercise Needs,4,https://dogtime.com/assets/uploads/2019/08/afador-mixed-dog-breed-pictures-1.jpg,https://dogtime.com/dog-breeds/afador
Afador, Physical Needs,Potential For Playfulness,3,https://dogtime.com/assets/uploads/2019/08/afador-mixed-dog-breed-pictures-1.jpg,https://dogtime.com/dog-breeds/afador
Barbet, Adaptability,Adapts Well To Apartment Living,3,https://dogtime.com/assets/uploads/gallery/barbet-dog-breed-pictures/leash-2_680-453.jpg,https://dogtime.com/dog-breeds/barbet
Barbet, Adaptability,Good For Novice Owners,2,https://dogtime.com/assets/uploads/gallery/barbet-dog-breed-pictures/leash-2_680-453.jpg,https://dogtime.com/dog-breeds/barbet
Barbet, Adaptability,Sensitivity Level,3,https://dogtime.com/assets/uploads/gallery/barbet-dog-breed-pictures/leash-2_680-453.jpg,https://dogtime.com/dog-breeds/barbet
Barbet, Adaptability,Tolerates Being Alone,1,https://dogtime.com/assets/uploads/gallery/barbet-dog-breed-pictures/leash-2_680-453.jpg,https://dogtime.com/dog-breeds/barbet
Barbet, Adaptability,Tolerates Cold Weather,4,https://dogtime.com/assets/uploads/gallery/barbet-dog-breed-pictures/leash-2_680-453.jpg,https://dogtime.com/dog-breeds/barbet
Barbet, Adaptability,Tolerates Hot Weather,4,https://dogtime.com/assets/uploads/gallery/barbet-dog-breed-pictures/leash-2_680-453.jpg,https://dogtime.com/dog-breeds/barbet
Barbet, All Around Friendliness,Affectionate With Family,5,https://dogtime.com/assets/uploads/gallery/barbet-dog-breed-pictures/leash-2_680-453.jpg,https://dogtime.com/dog-breeds/barbet
Barbet, All Around Friendliness,Kid-Friendly,4,https://dogtime.com/assets/uploads/gallery/barbet-dog-breed-pictures/leash-2_680-453.jpg,https://dogtime.com/dog-breeds/barbet
Barbet, All Around Friendliness,Dog Friendly,4,https://dogtime.com/assets/uploads/gallery/barbet-dog-breed-pictures/leash-2_680-453.jpg,https://dogtime.com/dog-breeds/barbet
Barbet, All Around Friendliness,Friendly Toward Strangers,3,https://dogtime.com/assets/uploads/gallery/barbet-dog-breed-pictures/leash-2_680-453.jpg,https://dogtime.com/dog-breeds/barbet
Barbet, Health And Grooming Needs,Amount Of Shedding,2,https://dogtime.com/assets/uploads/gallery/barbet-dog-breed-pictures/leash-2_680-453.jpg,https://dogtime.com/dog-breeds/barbet
Barbet, Health And Grooming Needs,Drooling Potential,1,https://dogtime.com/assets/uploads/gallery/barbet-dog-breed-pictures/leash-2_680-453.jpg,https://dogtime.com/dog-breeds/barbet
Barbet, Health And Grooming Needs,Easy To Groom,1,https://dogtime.com/assets/uploads/gallery/barbet-dog-breed-pictures/leash-2_680-453.jpg,https://dogtime.com/dog-breeds/barbet
Barbet, Health And Grooming Needs,General Health,4,https://dogtime.com/assets/uploads/gallery/barbet-dog-breed-pictures/leash-2_680-453.jpg,https://dogtime.com/dog-breeds/barbet
Barbet, Health And Grooming Needs,Potential For Weight Gain,3,https://dogtime.com/assets/uploads/gallery/barbet-dog-breed-pictures/leash-2_680-453.jpg,https://dogtime.com/dog-breeds/barbet
Barbet, Health And Grooming Needs,Size,3,https://dogtime.com/assets/uploads/gallery/barbet-dog-breed-pictures/leash-2_680-453.jpg,https://dogtime.com/dog-breeds/barbet
Barbet, Trainability,Easy To Train,4,https://dogtime.com/assets/uploads/gallery/barbet-dog-breed-pictures/leash-2_680-453.jpg,https://dogtime.com/dog-breeds/barbet
Barbet, Trainability,Intelligence,4,https://dogtime.com/assets/uploads/gallery/barbet-dog-breed-pictures/leash-2_680-453.jpg,https://dogtime.com/dog-breeds/barbet
Barbet, Trainability,Potential For Mouthiness,2,https://dogtime.com/assets/uploads/gallery/barbet-dog-breed-pictures/leash-2_680-453.jpg,https://dogtime.com/dog-breeds/barbet
Barbet, Trainability,Prey Drive,3,https://dogtime.com/assets/uploads/gallery/barbet-dog-breed-pictures/leash-2_680-453.jpg,https://dogtime.com/dog-breeds/barbet
Barbet, Trainability,Tendency To Bark Or Howl,3,https://dogtime.com/assets/uploads/gallery/barbet-dog-breed-pictures/leash-2_680-453.jpg,https://dogtime.com/dog-breeds/barbet
